"","plant_sp","site","year","week_num","block","species","common.NAme","tot_flw","avg_flor_area","tot_flor_area","avg_tall_flw","per_tar_cov","avg_fw","bloom_prd","chroma","hue","categorical","pol.unit","nectar"
"72","ASSY","CRC",2016,28,3,"Asclepias syriaca","Common Milkweed",104,1.0164,105.7056,100,"95",0.72,"early",0.153022485,10.908157,"pink",2.84,7.732421875
"73","ASSY","CRC",2016,26,1,"Asclepias syriaca","Common Milkweed",863.6,1.0164,877.76304,90,"80",0.72,"early",0.153022485,10.908157,"pink",2.84,7.732421875
"74","ASSY","CRC",2016,27,4,"Asclepias syriaca","Common Milkweed",1452,1.0164,1475.8128,90,"95",0.72,"early",0.153022485,10.908157,"pink",2.84,7.732421875
"75","ASSY","CRC",2016,26,3,"Asclepias syriaca","Common Milkweed",2286,1.0164,2323.4904,96,"90",0.72,"early",0.153022485,10.908157,"pink",2.84,7.732421875
"76","ASSY","NWMHRC",2016,27,3,"Asclepias syriaca","Common Milkweed",924,1.0164,939.1536,90,"100",0.78,"early",0.153022485,10.908157,"pink",2.84,7.732421875
"77","ASSY","NWMHRC",2016,29,1,"Asclepias syriaca","Common Milkweed",101,1.0164,102.6564,96,"60",0.78,"early",0.153022485,10.908157,"pink",2.84,7.732421875
"78","ASSY","CRC",2015,33,4,"Asclepias syriaca","Common Milkweed",43,1.0164,43.7052,86,"60",0.72,"middle",0.153022485,10.908157,"pink",2.84,7.732421875
"79","ASSY","CRC",2016,28,4,"Asclepias syriaca","Common Milkweed",234,1.0164,237.8376,90.5,"85",0.72,"early",0.153022485,10.908157,"pink",2.84,7.732421875
"80","ASSY","NWMHRC",2016,28,1,"Asclepias syriaca","Common Milkweed",421.6,1.0164,428.51424,94,"30",0.78,"early",0.153022485,10.908157,"pink",2.84,7.732421875
"81","ASSY","NWMHRC",2016,27,1,"Asclepias syriaca","Common Milkweed",21,1.0164,21.3444,79,"75",0.78,"early",0.153022485,10.908157,"pink",2.84,7.732421875
"82","ASSY","NWMHRC",2015,29,4,"Asclepias syriaca","Common Milkweed",27,1.0164,27.4428,60,"45",0.78,"middle",0.153022485,10.908157,"pink",2.84,7.732421875
"83","ASSY","CRC",2015,32,4,"Asclepias syriaca","Common Milkweed",25,1.0164,25.41,79,"50",0.72,"middle",0.153022485,10.908157,"pink",2.84,7.732421875
