site,year,plant_sp,record_id,specimen_id,date,week_num,SP,block,order,family,genus,species,bp
CRC,2015,CESTM,1560,SARE_1560,8/11/15,33,1,4,Hymenoptera,Halictidae,Lasioglossum,paradmirandum,late
CRC,2015,CESTM,1879,SARE_1879,8/17/15,34,1,3,Hymenoptera,Apidae,Ceratina,dupla,late
CRC,2015,CESTM,1878,SARE_1878,8/17/15,34,1,3,Hymenoptera,Halictidae,Halictus,ligatus,late
CRC,2015,CHANA2,1341,SARE_1341,8/5/15,32,1,1,Hymenoptera,Halictidae,Lasioglossum,hitchensi ,middle
CRC,2015,CHANA2,1342,SARE_1342,8/5/15,32,1,1,Hymenoptera,Halictidae,Lasioglossum,hitchensi ,middle
CRC,2015,COLA5,46,SARE_0046,6/16/15,25,1,3,Hymenoptera,Halictidae,Augochlorella,aurata,early
CRC,2015,COLA5,72,SARE_0072,6/16/15,25,1,4,Hymenoptera,Halictidae,Lasioglossum,leucozonium,early
CRC,2015,COLA5,85,SARE_0085,6/16/15,25,2,3,Hymenoptera,Halictidae,Halictus,ligatus,early
CRC,2015,COLA5,98,SARE_0098,6/16/15,25,2,1,Hymenoptera,Halictidae,Lasioglossum,albipenne,early
CRC,2015,COLA5,4,SARE_0004,6/9/15,24,1,3,Hymenoptera,Halictidae,Halictus,ligatus,early
CRC,2015,COLA5,97,SARE_0097,6/16/15,25,2,1,Hymenoptera,Halictidae,Halictus,parallelus,early
CRC,2015,COLA5,86,SARE_0086,6/16/15,25,2,3,Hymenoptera,Halictidae,Halictus,ligatus,early
CRC,2015,COLA5,460,SARE_0460,6/29/15,27,1,3,Hymenoptera,Andrenidae,Andrena,wilkella,early
CRC,2015,COLA5,218,SARE_0218,6/23/15,26,1,3,Hymenoptera,Halictidae,Halictus,ligatus,early
CRC,2015,COLA5,NA,SARE_0092,6/16/15,25,2,3,Hymenoptera,Halictidae,Lasioglossum,sp.,early
CRC,2015,COLA5,258,SARE_0258,6/23/15,26,1,4,Hymenoptera,Halictidae,Lasioglossum,leucozonium,early
CRC,2015,COLA5,257,SARE_0257,6/23/15,26,1,4,Hymenoptera,Halictidae,Halictus,ligatus,early
CRC,2015,COLA5,234,SARE_0234,6/23/15,26,1,1,Hymenoptera,Halictidae,Halictus,ligatus,early
CRC,2015,COLA5,87,SARE_0087,6/16/15,25,2,3,Hymenoptera,Halictidae,Halictus,ligatus,early
CRC,2015,COLA5,375,SARE_0375,6/23/15,26,2,2,Hymenoptera,Halictidae,Lasioglossum,hitchensi ,early
CRC,2015,COLA5,309,SARE_0309,6/23/15,26,2,3,Hymenoptera,Halictidae,Halictus,ligatus,early
CRC,2015,COLA5,310,SARE_0310,6/23/15,26,2,3,Hymenoptera,Apidae,Nomada,articulata,early
CRC,2015,COLA5,219,SARE_0219,6/23/15,26,1,3,Hymenoptera,Andrenidae,Andrena,wilkella,early
CRC,2015,COLA5,220,SARE_0220,6/23/15,26,1,3,Hymenoptera,Halictidae,Lasioglossum,paraforbesii,early
CRC,2015,COLA5,238,SARE_0238,6/23/15,26,1,2,Hymenoptera,Halictidae,Halictus,ligatus,early
CRC,2015,COLA5,484,SARE_0484,6/29/15,27,2,4,Hymenoptera,Halictidae,Lasioglossum,albipenne,early
CRC,2015,COLA5,79,SARE_0079,6/16/15,25,2,2,Hymenoptera,Halictidae,Lasioglossum,leucozonium,early
CRC,2015,COLA5,308,SARE_0308,6/23/15,26,2,3,Hymenoptera,Andrenidae,Andrena,wilkella,early
CRC,2015,COLA5,232,SARE_0232,6/23/15,26,1,1,Hymenoptera,Halictidae,Halictus,ligatus,early
CRC,2015,COLA5,312,SARE_0312,6/23/15,26,2,3,Hymenoptera,Halictidae,Halictus,ligatus,early
CRC,2015,COLA5,307,SARE_0307,6/23/15,26,2,3,Hymenoptera,Halictidae,Halictus,ligatus,early
CRC,2015,COLA5,467,SARE_0467,6/29/15,27,1,1,Hymenoptera,Apidae,Ceratina,mikmaqi,early
CRC,2015,COLA5,233,SARE_0233,6/23/15,26,1,1,Hymenoptera,Halictidae,Halictus,ligatus,early
CRC,2015,COLA5,461,SARE_0461,6/29/15,27,1,3,Hymenoptera,Halictidae,Lasioglossum,paraforbesii,early
CRC,2015,COLA5,231,SARE_0231,6/23/15,26,1,1,Hymenoptera,Halictidae,Halictus,ligatus,early
CRC,2015,COLA5,482,SARE_0482,6/29/15,27,2,3,Hymenoptera,Halictidae,Halictus,ligatus,early
CRC,2015,COLA5,453,SARE_0453,6/29/15,27,1,2,Hymenoptera,Halictidae,Halictus,ligatus,early
CRC,2015,COLA5,347,SARE_0347,6/23/15,26,2,1,Hymenoptera,Halictidae,Halictus,ligatus,early
CRC,2015,COLA5,452,SARE_0452,6/29/15,27,1,2,Hymenoptera,Megachilidae,Heriades,carinata,early
CRC,2015,COLA5,311,SARE_0311,6/23/15,26,2,3,Hymenoptera,Halictidae,Halictus,ligatus,early
CRC,2015,COLA5,88,SARE_0088,6/16/15,25,2,3,Hymenoptera,Apidae,Ceratina,mikmaqi,early
CRC,2015,COLA5,345,SARE_0345,6/23/15,26,2,1,Hymenoptera,Halictidae,Halictus,ligatus,early
CRC,2015,COLA5,344,SARE_0344,6/23/15,26,2,1,Hymenoptera,Halictidae,Halictus,ligatus,early
CRC,2015,COLA5,346,SARE_0346,6/23/15,26,2,1,Hymenoptera,Halictidae,Halictus,ligatus,early
CRC,2015,COPA10,609,SARE_0609,7/6/15,28,1,2,Hymenoptera,Halictidae,Halictus,ligatus,early
CRC,2015,COPA10,594,SARE_0594,7/6/15,28,2,2,Hymenoptera,Halictidae,Lasioglossum,leucozonium,early
CRC,2015,COPA10,593,SARE_0593,7/6/15,28,2,2,Hymenoptera,Apidae,Melissodes,druriellus,early
CRC,2015,COPA10,583,SARE_0583,7/6/15,28,2,1,Hymenoptera,Halictidae,Halictus,rubicundus,early
CRC,2015,COPA10,789,SARE_0789,7/16/15,29,2,2,Hymenoptera,Halictidae,Halictus,ligatus,early
CRC,2015,COTR4,2358,SARE_2358,9/2/15,36,1,3,Hymenoptera,Halictidae,Lasioglossum,paradmirandum,late
CRC,2015,COTR4,1949,SARE_1949,8/17/15,34,2,3,Hymenoptera,Halictidae,Lasioglossum,coriaceum,late
CRC,2015,COTR4,1875,SARE_1875,8/17/15,34,1,3,Hymenoptera,Halictidae,Halictus,ligatus,late
CRC,2015,COTR4,1841,SARE_1841,8/17/15,34,1,1,Hymenoptera,Halictidae,Lasioglossum,paradmirandum,late
CRC,2015,COTR4,1880,SARE_1880,8/17/15,34,1,4,Hymenoptera,Halictidae,Halictus,ligatus,late
CRC,2015,COTR4,1881,SARE_1881,8/17/15,34,1,4,Hymenoptera,Halictidae,Lasioglossum,pilosum,late
CRC,2015,COTR4,1930,SARE_1930,8/17/15,34,2,4,Hymenoptera,Halictidae,Halictus,ligatus,late
