week_num,site,year,block,plant_sp,species,common.NAme,tot_flw,avg_flor_area,tot_flor_area,avg_tall_flw,per_tar_cov,tot_hb,tol_syr
31,NWMHRC,2015,1,AMCA6,Amorpha canescens,Lead Plant,31,5.6848,176.2288,57,45,0,0
31,NWMHRC,2015,3,AMCA6,Amorpha canescens,Lead Plant,68,5.6848,386.5664,60,20,0,0
28,SWMREC,2016,3,AMCA6,Amorpha canescens,Lead Plant,13,5.6848,73.9024,51,35,0,0
28,SWMREC,2016,4,AMCA6,Amorpha canescens,Lead Plant,54,5.6848,306.9792,52,70,1,0
28,SWMREC,2016,2,AMCA6,Amorpha canescens,Lead Plant,6,5.6848,34.1088,52,50,0,2
28,SWMREC,2016,1,AMCA6,Amorpha canescens,Lead Plant,28,5.6848,159.1744,57.5,70,0,0
28,CRC,2016,1,AMCA6,Amorpha canescens,Lead Plant,18,5.6848,102.3264,47.5,60,0,0
28,CRC,2016,2,AMCA6,Amorpha canescens,Lead Plant,26,5.6848,147.8048,61,45,0,2
28,SWMREC,2015,2,AMCA6,Amorpha canescens,Lead Plant,5,5.6848,28.424,37,50,0,0
28,SWMREC,2015,4,AMCA6,Amorpha canescens,Lead Plant,6,5.6848,34.1088,50,70,0,0
33,NWMHRC,2015,4,AMCA6,Amorpha canescens,Lead Plant,5,5.6848,28.424,49,50,0,0
33,NWMHRC,2015,1,AMCA6,Amorpha canescens,Lead Plant,12,5.6848,68.2176,58,60,0,0
33,NWMHRC,2015,3,AMCA6,Amorpha canescens,Lead Plant,17,5.6848,96.6416,70,35,0,0
32,NWMHRC,2015,3,AMCA6,Amorpha canescens,Lead Plant,16,5.6848,90.9568,63,30,0,0
32,NWMHRC,2015,1,AMCA6,Amorpha canescens,Lead Plant,23,5.6848,130.7504,58.5,55,0,0
32,NWMHRC,2015,4,AMCA6,Amorpha canescens,Lead Plant,6,5.6848,34.1088,57,35,0,0
25,SWMREC,2016,1,ASSY,Asclepias syriaca,Common Milkweed,144,1.0164,146.3616,76,95,0,0
25,SWMREC,2016,4,ASSY,Asclepias syriaca,Common Milkweed,189,1.0164,192.0996,86,95,1,0
25,SWMREC,2016,2,ASSY,Asclepias syriaca,Common Milkweed,39,1.0164,39.6396,69,80,0,0
26,SWMREC,2016,1,ASSY,Asclepias syriaca,Common Milkweed,630.8,1.0164,641.14512,90,100,6,0
26,SWMREC,2016,2,ASSY,Asclepias syriaca,Common Milkweed,630.8,1.0164,641.14512,84,70,19,1
26,SWMREC,2016,4,ASSY,Asclepias syriaca,Common Milkweed,1162,1.0164,1181.0568,92,100,33,0
26,CRC,2016,2,ASSY,Asclepias syriaca,Common Milkweed,1066.8,1.0164,1084.29552,94,90,12,0
26,CRC,2016,4,ASSY,Asclepias syriaca,Common Milkweed,508,1.0164,516.3312,80,80,11,0
26,CRC,2016,3,ASSY,Asclepias syriaca,Common Milkweed,2286,1.0164,2323.4904,96,90,25,0
26,CRC,2016,1,ASSY,Asclepias syriaca,Common Milkweed,863.6,1.0164,877.76304,90,80,4,0
27,CRC,2016,3,ASSY,Asclepias syriaca,Common Milkweed,1411.2,1.0164,1434.34368,100,985,6,0
27,CRC,2016,2,ASSY,Asclepias syriaca,Common Milkweed,1058.4,1.0164,1075.75776,112,85,7,1
27,CRC,2016,4,ASSY,Asclepias syriaca,Common Milkweed,1452,1.0164,1475.8128,90,95,10,3
